,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
55,55,256,A,What could you be a few hours after you finish cashing in due to your cash?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happy', 'receiving money', 'getting paid', 'spending money',
       'selling out'], dtype=object)}",happy,receiving money,getting paid,spending money,,"Question: What could you be a few hours after you finish cashing in due to your cash? (A) happy (B) receiving money (C) getting paid (D) spending money. 
The correct response is: "," (D) spending money 
The correct response is:  (D) spending money 
The correct response is:  (D) spending money 
The correct response is:  (D) spending money"
56,56,284,C,Why do people read non fiction?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['having fun', ""it's more relatable"", 'learn new things',
       'becoming absorbed', 'falling asleep'], dtype=object)}",having fun,it's more relatable,learn new things,becoming absorbed,,"Question: Why do people read non fiction? (A) having fun (B) it's more relatable (C) learn new things (D) becoming absorbed. 
The correct response is: "," (C) learn new things  
The non fiction genre is used to convey facts, events, life experiences and/or an author's perspective on a particular subject. These books are written to educate and inform, rather than to entertain. Therefore, the correct"
57,57,755,C,Where could you find only a few office?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['skyscraper', 'new york', 'school building', 'city', 'work'],
      dtype=object)}",skyscraper,new york,school building,city,,"Question: Where could you find only a few office? (A) skyscraper (B) new york (C) school building (D) city. 
The correct response is: "," (A) skyscraper  
The number of offices in a skyscraper is limited, so the correct response is: (A) skyscraper 
The number of offices in a skyscraper is limited, so the correct response is:"
58,58,368,A,"More people should lower the guard and just have fun, we don't got long just what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoy living', 'happy', 'enjoyable', 'get laid', 'do enjoy'],
      dtype=object)}",enjoy living,happy,enjoyable,get laid,,"Question: More people should lower the guard and just have fun, we don't got long just what? (A) enjoy living (B) happy (C) enjoyable (D) get laid. 
The correct response is: "," (D) get laid 
The correct response is: (D) get laid 
The correct response is: (D) get laid 
The correct response is: (D) get laid 
The correct response is: ("
59,59,373,C,"If a reception is held with hotel guests walking by, what is the likely venue?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['room service', 'church basement', 'lobby', 'large room',
       'country club'], dtype=object)}",room service,church basement,lobby,large room,,"Question: If a reception is held with hotel guests walking by, what is the likely venue? (A) room service (B) church basement (C) lobby (D) large room. 
The correct response is: "," (C) lobby  
The hotel lobby is most likely the venue 
The correct response is: (C) lobby 
The hotel lobby is most likely the venue 
"
60,60,257,C,"The smelly man was having a bath, but what is he pursuing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hydration', 'being clear', 'personal cleanliness', 'will drown',
       'use of water'], dtype=object)}",hydration,being clear,personal cleanliness,will drown,,"Question: The smelly man was having a bath, but what is he pursuing? (A) hydration (B) being clear (C) personal cleanliness (D) will drown. 
The correct response is: "," (D) will drown  
The man is likely to drown because he is bathing in the tub, and he is unable to swim 
The correct response is: (D) will drown 
The"
61,61,455,A,If you're reading a newspaper from another country what are you doing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learning about world', 'education', 'get angry', 'concern',
       'eat cake'], dtype=object)}",learning about world,education,get angry,concern,,"Question: If you're reading a newspaper from another country what are you doing? (A) learning about world (B) education (C) get angry (D) concern. 
The correct response is: "," (D) concern  
The ability to read a newspaper from another country in your own home is possible due to  (A) learning about world  (B) education  (C) get angry  (D) concern 
The correct response is:"
62,62,902,C,Many towns and cities have trash cans where on sidewalks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hospital', 'park', 'corner', 'motel', 'office'], dtype=object)}",hospital,park,corner,motel,,"Question: Many towns and cities have trash cans where on sidewalks? (A) hospital (B) park (C) corner (D) motel. 
The correct response is: "," (C) corner  
The reason is: Garbage is usually collected on a weekly basis, and on most streets, garbage is collected on the same side of the street every week. Because of this, it is most common for garbage cans to be placed on"
63,63,1218,C,"The man closed his eyes as the music played, what effect did the music have?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coma', 'enjoyable', 'soothing', 'universal', 'good or bad'],
      dtype=object)}",coma,enjoyable,soothing,universal,,"Question: The man closed his eyes as the music played, what effect did the music have? (A) coma (B) enjoyable (C) soothing (D) universal. 
The correct response is: "," (B) enjoyable  
The man was able to enjoy the music 
The music had a positive effect on the man, as it allowed him to enjoy it 
The correct response is: (B) enjoyable 
The man was"
64,64,1176,D,"She had an interest in the man, what did she want to do with him?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see particular program', 'see exhibits', 'see people play game',
       'have conversation', 'watch film'], dtype=object)}",see particular program,see exhibits,see people play game,have conversation,,"Question: She had an interest in the man, what did she want to do with him? (A) see particular program (B) see exhibits (C) see people play game (D) have conversation. 
The correct response is: "," (D) have conversation 
The man was a subject of her interest, so she wanted to talk to him 
The correct response is: (D) have conversation 
The man was a subject of her interest, so"
65,65,931,C,"The chef wanted to perfect his craft, what did he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['thin potatos', 'prepare food', 'study french cooking', 'drink',
       'cook dinner'], dtype=object)}",thin potatos,prepare food,study french cooking,drink,,"Question: The chef wanted to perfect his craft, what did he do? (A) thin potatos (B) prepare food (C) study french cooking (D) drink. 
The correct response is: "," (C) study french cooking  
The chef wanted to perfect his craft, so he  (C) study french cooking 
The correct response is: (C) study french cooking 
The chef wanted to perfect"
66,66,623,D,If you're celebrating with too many cocktails what may you have in the morning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drunkenness', 'have fun', 'headache', 'hang over', 'intimacy'],
      dtype=object)}",drunkenness,have fun,headache,hang over,,"Question: If you're celebrating with too many cocktails what may you have in the morning? (A) drunkenness (B) have fun (C) headache (D) hang over. 
The correct response is: "," (D) hang over  
The hangover is caused by dehydration from drinking alcohol. Alcohol is a diuretic, which means that it causes the body to lose water"
67,67,854,C,What area does a police officer patrol?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['direct traffic', 'city', 'beat', 'street', 'park'], dtype=object)}",direct traffic,city,beat,street,,"Question: What area does a police officer patrol? (A) direct traffic (B) city (C) beat (D) street. 
The correct response is: "," (C) beat  
The police officer patrols an area known as a beat, which is an assigned area that they are responsible for patrolling. 
The other options are:
A police officer may direct traffic, but this is not an area they patrol 
A police officer"
68,68,434,C,"A beaver is know for building prowess, their supplies come from where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['british columbia', 'body of water', 'wooded area', 'pay debts',
       'zoo'], dtype=object)}",british columbia,body of water,wooded area,pay debts,,"Question: A beaver is know for building prowess, their supplies come from where? (A) british columbia (B) body of water (C) wooded area (D) pay debts. 
The correct response is: "," (B) body of water  
The beaver is able to build things because it sources materials from: A river or lake 
The beaver is know for building: dams 
The dam is used"
69,69,908,B,"He wanted lodging in the actual what, so that he was already where he needed to be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['a yurt', 'resort area', 'big city', 'michigan',
       'going on vacation'], dtype=object)}",a yurt,resort area,big city,michigan,,"Question: He wanted lodging in the actual what, so that he was already where he needed to be? (A) a yurt (B) resort area (C) big city (D) michigan. 
The correct response is: "," (A) a yurt  
The lodging is a type of shelter, so the correct response is: (A) a yurt 
The incorrect responses are: (B) resort area (C) big city"
70,70,474,C,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get tired of', 'small talk', 'eye contact', 'friendship',
       'social life'], dtype=object)}",get tired of,small talk,eye contact,friendship,,"Question: He was getting advice for the job interview, they told him when talking to the interviewer always make what? (A) get tired of (B) small talk (C) eye contact (D) friendship. 
The correct response is: "," (C) eye contact  
The interviewee should: (D) make friends  
The correct response is: (C) eye contact 
The interviewee should: (A) get tired of "
